country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2014,2016,2017,2018,2019
Canada,,12.2488,11.9462,12.4284,11.712,12.1877,11.2253,11.4745,11.5496,11.9852,12.0529,11.2693,11.7759,12.0905,12.9932,12.7077,11.8649,13.0454,11.9896,11.8057
Central African Republic,,17.7143,17.4386,16.4346,15.6892,15.1295,15.7148,15.3949,15.1017,15.9708,15.7501,15.3811,14.7208,14.9391,14.4431,15.5678,13.7256,14.3419,12.7993,12.3271
Chad,,7.78,7.69,7.76,7.54,7.54,7.47,7.67,7.5,7.57,7.68,7.67,7.56,7.35,6.78,7.11,6.65,6.73,6.61,6.44
Chile,,10.2735,9.64,9.73,10.1286,9.68,10.0398,10.9854,12.2191,12.6693,11.6098,11.6769,10.5201,9.8,9.97,9.85,9.99,9.27,8.81,8.97
China,14.2938,12.9151,12.1885,12.7639,13.3078,12.8766,12.1168,11.4937,11.0946,10.6624,10.2372,9.6,9,8.59,8.13,8.35,8.16,8.14,8.13,8.07
Colombia,,4.93,4.69,4.56,4.45,4.13,4.14,4.12,4.16,4.08,3.83,3.67,3.82,3.66,4.13,3.75,4.23,4.66,4.02,3.9
Comoros,,6.19,5.94,5.75,5.51,5.36,5.38,5.25,5.4,5.04,5.57,5.1,5.24,5.18,5.51,5.53,5.49,5.41,5.36,5.38
Congo,,12.4027,11.0308,10.1455,10.1645,9.68,9.63,9.32,8.93,9.31,9.01,8.66,8.88,8.15,6.79,7.5,6.74,6.58,6.45,6.48
Costa Rica,,5.17,7.01,7.85,8.09,6.55,8.44,5.67,5.49,5.64,6.9,6.9,6.56,6.72,6.73,5.63,7.66,6.12,7.18,8.06
Côte d'Ivoire,,13.3007,12.6591,12.4394,12.0758,11.4837,11.5632,11.4829,10.6291,10.9511,11.364,11.1256,11.26,11.1113,10.0022,10.5387,9.57,9.2,8.98,8.9
Croatia,,19.7416,19.5246,19.7449,20.2098,20.062,18.2539,18.1012,18.3984,18.3059,18.3446,16.4482,18.3914,16.489,17.6053,17.2718,16.4292,15.6835,16.3861,16.3697
Cuba,,15.2539,14.7038,13.7507,13.901,12.9443,12.7058,12.1786,12.8566,13.723,14.4331,14.1354,13.7971,13.942,14.0314,13.4379,13.3618,14.5456,14.2501,14.4504
Cyprus,,2.1,2.16,2.21,0.871,2.6,3.49,3.14,6.1,4.45,5.29,4.26,5.39,5.73,4.7,5.36,4.63,3.69,4.16,3.64
Czechia,,16.2111,15.3547,17.0341,16.346,15.7979,14.4506,14.1499,14.1592,14.9709,15.0393,16.0637,16.7004,15.6901,13.5699,14.8151,12.9938,13.9276,13.5563,12.1774
Democratic People's Republic of Korea,,9.54,9.5,9.16,9.03,8.92,8.92,9.02,9.39,9.4,9.53,9.73,9.69,9.85,10.5014,10.001,10.3551,9.75,9.28,9.38
Democratic Republic of the Congo,,7.74,7.67,7.74,7.6,7.51,7.41,7.16,7.14,7.25,7.19,7.1,6.93,6.83,6.61,6.74,6.53,6.51,6.72,6.7
