country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,18.38661602,20.97723543,21.23721383,21.53851498,22.09887296,24.55270348,24.91410768,26.35421914,27.662833,28.56711685,28.11815712,29.7035045,31.58343153,33.2849171,36.18683255,34.54469235,36.67504866,41.51555761,44.33510716,44.46199693
Brunei Darussalam,7.697383805,5.619444461,6.921077947,7.231700581,8.933770671,10.03519718,13.49097218,12.02975546,9.852026336,8.627732095,6.375101964,9.898127431,11.29975873,9.524385369,10.17353452,9.697707819,13.87012148,17.71729704,16.83370816,14.57505614
Bulgaria,64.08161931,62.19995803,62.59613513,53.97540599,51.59371607,47.95770746,48.61509039,46.91228028,51.29592828,47.74818511,48.29385633,43.90065357,51.58072416,44.06040268,40.44207342,42.27973394,39.53846929,42.04537329,39.67361782,40.27796348
Burkina Faso,33.29395172,32.15456669,31.13840122,31.12236045,31.31123167,31.53800883,31.9355976,31.91058069,31.75072965,31.75038224,32.04166454,31.51441183,32.86039821,32.89586212,32.06842984,32.23399636,31.79228607,31.56556598,31.534921,31.25714307
Burundi,31.71826373,30.68348367,30.09785422,29.27682895,28.63463905,28.12240999,28.99837408,28.17525547,27.45655684,27.32434564,27.25240598,26.83374516,26.24323169,26.07929226,24.94206006,25.315039,25.11895254,25.2398579,25.0942426,24.99402186
Cabo Verde,71.18496743,72.01781756,73.95319594,75.18696557,77.66754426,80.11990469,85.19553073,89.60392066,92.86452219,96.4357478,99.80337536,99.40994522,98.61193987,97.96078893,97.17612173,97.19855073,95.21437115,92.94348284,76.11363076,74.12097825
Cambodia,18.43570979,19.03572796,19.34941604,19.72707244,20.80870479,21.9161361,22.75137252,23.30749678,23.15128869,22.68885207,22.69334988,22.38504832,22.42238816,22.27805167,22.16265461,22.09062734,22.29320088,21.94479557,21.84634882,21.54837276
Cameroon,38.13314901,38.41724934,37.83997155,38.15101147,37.88246739,39.87307281,40.79552565,40.24875509,40.05559813,40.14389311,39.50670096,39.55826494,39.40667263,38.89029979,37.0301651,38.01895685,36.93084639,36.81402114,36.9328627,37.71049627
Canada,82.75732936,87.37858537,86.40850154,92.20360108,89.15345325,96.32078424,91.58501065,93.9247865,96.93677573,104.128041,108.4931009,104.0012994,109.5531411,115.3093816,126.0324306,122.4309888,114.3402038,129.5932417,122.3886905,122.7332599
Central African Republic,45.69652895,43.23403877,42.6717394,40.73256456,39.32902121,38.42404892,39.55010709,39.05181229,38.65208973,40.41698522,40.01221444,39.35241508,38.16231479,38.77449637,37.90664788,40.73159787,36.6800954,38.65007826,35.10445931,34.23850157
Chad,31.75784118,31.50019475,31.12951985,31.13307544,30.69995073,30.86570104,30.74333431,31.19562627,30.63554041,30.82940465,31.1298683,31.11081005,30.72553723,30.1988812,28.69493894,29.58487551,28.44065654,28.8085996,28.54604745,28.32202138
Chile,71.77089683,69.80119213,67.71417593,67.73110542,72.83005816,70.5005466,74.82744254,81.35272398,94.62019043,96.84498748,89.69861981,91.84783506,84.08767736,79.85795063,85.63394024,82.51412583,89.80792431,87.30827733,85.37599355,89.38598703
China,62.08659755,56.99715789,53.76275313,56.27397582,59.06122835,59.15336896,58.57083263,57.52262879,56.54293366,55.28157184,53.80167609,51.4005306,49.26982125,48.42672343,48.31466216,48.51229918,49.20722695,50.08712945,50.86680031,50.91029757
Colombia,33.00604539,33.94059226,33.34622626,32.3291218,32.19302504,30.65615302,31.32808374,32.75513628,34.27216548,36.06355672,34.37039802,34.81101508,36.92455212,35.72669663,39.96322996,36.78840194,41.01806249,45.69859521,40.85685567,40.06295019
Comoros,24.83840207,25.04468798,24.70374224,24.74012116,24.3785246,23.98311159,24.56092776,23.953746,24.59107098,23.54874988,26.20445212,24.04612329,24.79024097,24.69133449,25.79398424,25.71110022,25.85949861,25.7192231,25.83207225,26.08742877
Congo,40.54458907,36.90294585,34.68957753,32.84472801,33.17809205,32.50387998,32.82074353,32.31665327,31.55268539,33.02828584,32.6757564,32.02772876,32.75783329,30.84132874,27.59924754,29.11495204,27.82865476,27.93844032,27.97773059,28.6728328
Costa Rica,49.53408457,40.42302658,59.14074654,65.89235456,67.12049747,59.32584107,74.84120629,56.14417269,55.10792219,57.53710582,62.05052711,67.04216758,63.6835085,66.73532195,68.93351757,57.8889355,76.93590215,60.13861361,74.63501089,84.53289284
Côte d'Ivoire,50.20869374,48.10019648,46.48552182,45.84133784,44.9923397,43.44314451,43.30981168,43.38426675,41.5887057,42.48792029,43.62586026,43.63048832,44.47544647,44.5187628,42.4040163,43.45674675,41.74208885,41.1921178,40.79294582,40.99468773
Croatia,90.90702283,88.66249499,88.55882694,89.9791969,98.24432112,96.9517841,92.39664669,90.84758693,91.59794564,94.03656175,97.59536171,89.84277705,103.5337855,97.12077456,99.79135149,101.7931286,96.59280651,93.08576936,100.3444612,101.8434817
Cuba,94.45501696,81.69192399,83.98432926,77.5024405,79.74597857,73.92801438,73.39649868,70.20972522,74.3040533,80.25385552,83.60980046,86.84150384,84.60056461,84.53503608,84.77065573,81.0262273,82.05563433,86.6316938,86.23577725,87.14998489
Cyprus,15.45611611,15.68182327,15.96601014,16.50496531,6.519856369,20.54408642,27.9202457,26.64892335,54.4806299,41.3388204,49.96472245,42.44033944,53.21785355,58.47165502,48.45735495,53.68546726,50.25212893,41.9582328,50.27901226,44.42394109
Czechia,72.32941377,74.90456208,71.81110154,80.47171625,80.00097884,80.18778618,75.78360667,75.76985934,77.34588126,82.64284429,84.64980984,92.28579948,98.8660279,93.695341,87.17211448,94.34849034,86.54957361,93.47332363,91.8381933,85.43535379
Democratic People's Republic of Korea,40.5669585,39.80051349,38.77161722,38.44665443,38.47858324,38.43609891,38.37019582,37.67411225,37.34467063,37.13128437,36.91703622,37.36316652,37.60219823,38.12942093,40.16246419,38.65669063,40.11120244,39.22766166,38.87754495,39.18532948
Democratic Republic of the Congo,28.04435796,27.70869498,27.86898886,27.70503516,27.35674783,27.34927943,27.13854281,26.7307907,26.64304367,26.85311494,26.94089677,26.99114842,26.80125305,27.01062035,27.2430488,27.12314026,27.30957219,27.45433766,27.90260827,27.86044661
Denmark,85.00091434,88.28968012,85.96710542,82.50455746,89.98431392,97.96461986,97.45187797,85.9324117,92.91520666,92.28584747,87.41272472,97.11980018,100.8221055,98.65576286,91.5705249,97.19855121,91.65179972,101.4224695,100.3674575,99.30467416
Djibouti,30.3869197,30.19580988,31.3474345,31.9457467,32.38672067,32.76211971,32.84040486,33.23162442,33.87621453,34.82122942,36.53492463,37.64447791,38.49027454,39.8861914,40.52970801,40.90314865,41.87941514,43.42743656,43.66790602,43.78930078
Dominican Republic,27.55230381,28.28542109,29.58571321,30.35100527,30.27619968,30.94992823,28.75762792,28.66630463,28.53700486,28.64287258,28.18204887,28.40422944,28.55558179,28.43931858,29.56388398,29.12951772,29.26351194,27.14086059,26.16547466,25.76823848
Ecuador,49.6634484,53.01802613,57.10305804,61.68707972,64.35451777,68.44660161,69.63682427,73.51789816,75.36396126,77.08467622,75.44833576,76.00347489,78.67795187,76.97751612,75.12345373,73.86145677,75.34914152,80.49465717,71.36999357,69.1311671
Egypt,11.31424824,11.14922783,10.98312479,10.67855614,10.69878444,10.64016977,10.49257174,10.5324406,10.47645417,10.51027379,10.74873116,11.33486725,11.42989294,11.75308128,10.79324777,11.26503231,10.86980152,10.60878023,10.44663604,10.73669034
El Salvador,58.73942332,62.48651911,51.81392825,62.69002614,66.8176871,74.8295843,62.23073241,74.14598708,65.97797128,81.4410499,58.19321479,74.09567292,62.93354218,58.57591769,64.4171409,52.74319558,55.05097509,57.31770021,56.59622955,56.69672687
Equatorial Guinea,44.13602087,42.33252208,40.03969248,39.58713946,38.84371988,38.15123406,39.43768717,39.25631242,38.51108538,38.95785759,43.58886807,47.57363094,43.70900215,38.37024651,42.65718497,39.95314216,40.30774464,35.41982956,36.86058119,35.68505365
Eritrea,43.96141068,43.46777961,43.19547078,41.61368171,42.00870286,42.42015254,42.97469857,42.67031862,43.65121001,43.26250286,43.00595947,42.79108211,42.38768431,41.89256084,41.43961894,41.55536292,41.3769391,41.36445394,41.47632146,40.72393969
